ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
Pou Rumchak,KH210608,,,,Prey Kabbas,KH2106,Takeo,KH21,Cambodia,KH,26.38386154
Pou Ta Hao,KH200604,,,,Svay Rieng,KH2006,Svay Rieng,KH20,Cambodia,KH,2.483503342
Pou Ti,KH141206,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,17.26312637
Pou Treay,KH170709,,,,Puok,KH1707,Siemreap,KH17,Cambodia,KH,74.81088257
Pouthi Ban,KH080408,,,,Kaoh Thum,KH0804,Kandal,KH08,Cambodia,KH,69.05314636
Pouthi Reach,KH200512,,,,Svay Chrum,KH2005,Svay Rieng,KH20,Cambodia,KH,22.23294067
Pouy,KH160602,,,,Ou Chum,KH1606,Ratanak Kiri,KH16,Cambodia,KH,107.2329788
Poy Char,KH010302,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,246.294281
Pralay,KH060809,,,,Stoung,KH0608,Kampong Thom,KH06,Cambodia,KH,220.1995392
Pralay,KH090702,,,,Thma Bang,KH0907,Koh Kong,KH09,Cambodia,KH,764.4537354
Pralay Meas,KH040406,,,,Kampong Leaeng,KH0404,Kampong Chhnang,KH04,Cambodia,KH,102.4375381
Pram Yam,KH031407,,,,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,36.51522064
Pramaoy,KH150604,,,,Veal Veaeng,KH1506,Pursat,KH15,Cambodia,KH,861.6574097
Prambei Mum,KH050804,,,,Thpong,KH0508,Kampong Speu,KH05,Cambodia,KH,140.2782593
Prambei Mum,KH211005,,,,Treang,KH2110,Takeo,KH21,Cambodia,KH,22.2600956
Prame,KH130705,,,,Tbaeng Mean Chey,KH1307,Preah Vihear,KH13,Cambodia,KH,256.7060242
Praphnum,KH070109,,,,Angkor Chey,KH0701,Kampot,KH07,Cambodia,KH,26.20391464
Prasat,KH010404,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,194.1513519
Prasat,KH060707,,,,Santuk,KH0607,Kampong Thom,KH06,Cambodia,KH,50.04613113
Prasat,KH081006,,,,S'ang,KH0810,Kandal,KH08,Cambodia,KH,84.82953644
Prasat,KH140309,,,,Kampong Trabaek,KH1403,Prey Veng,KH14,Cambodia,KH,31.90110588
Prasat,KH171401,,,,Varin,KH1714,Siemreap,KH17,Cambodia,KH,167.5032959
Prasat,KH200804,,,,Bavet,KH2008,Svay Rieng,KH20,Cambodia,KH,27.43005371
Prasat Phnom Khyang,KH070607,,,,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,9.494491577
Prasnoeb,KH040608,,,,Rolea B'ier,KH0406,Kampong Chhnang,KH04,Cambodia,KH,125.517334
Prasoutr,KH200707,,,,Svay Teab,KH2007,Svay Rieng,KH20,Cambodia,KH,35.45880127
Prateah Lang,KH120513,,,,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,8.558667183
Pratheat,KH140310,,,,Kampong Trabaek,KH1403,Prey Veng,KH14,Cambodia,KH,28.36325264
Preaek A Chi,KH250208,,,,Krouch Chhmar,KH2502,Tboung Khmum,KH25,Cambodia,KH,44.29003525
Preaek Aeng,KH121206,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,8.446256638
Preaek Ambel,KH081007,,,,S'ang,KH0810,Kandal,KH08,Cambodia,KH,50.50003433
Preaek Ampil,KH080307,,,,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,29.80928993
Preaek Anhchanh,KH080703,,,,Mukh Kampul,KH0807,Kandal,KH08,Cambodia,KH,42.71754456
